"%s is not supported currency.","Valutan %s stöds inte."
"Accept","Acceptera"
"Basic","Basic"
"Cannot retreive rate from strikeirion.","Kunde inte hämta kurs från strikeirion."
"Cannot retrieve rate from %s to %s","Kunde inte hämta kurser från %s till %s"
"Check all email servers","Kontrollera alla e-postservrar"
"Complete","Komplett"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"Customer Tax Class","Momsklass för kund"
"Email Verification","Verifiering av e-post"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","E-postadressen kunde inte verifieras. Vänligen kontrollera din e-postadress."
"Enable US address verification","Aktivera verifiering av amerikanska adresser"
"Enable email verification","Aktivera verifiering av e-post"
"Enable foreign exchange rate","Aktivera valutakurs"
"Enable global address verification","Aktivera verifiering av globala adresser"
"Enable sales and use tax","Aktivera moms för försäljningar"
"Error Email Recipient","Mottagare av e-post om fel"
"Error Email Sender","Avsändare av e-post om fel"
"Error Email Template","Mall för e-post om fel"
"Error address action","Åtgärd för felaktig adress"
"Foreign Exchange Rates","Valutakurser"
"Global Address Verification","Global verifiering av adresser"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","Om typen är komplett och postadress tillhör olika momssatser, välj om maximummoms eller minimummoms ska tillämpas."
"Invalid email address","Ogiltig e-postadress"
"Maximum tax rate","Maximal mmoms"
"Minimum tax rate","Minimal moms"
"Password","Lösenord"
"Pop up warning and accept","Visa varning som pop-up"
"Product Tax Class","Momsklass för produkt"
"Reject","Förkasta"
"Sales and Use Tax","Moms för försäljning"
"Sales and Use Tax Type","Moms för försäljning"
"Strikeiron","Strikeiron"
"Strikeiron Config","Konfiguration för Strikeiron"
"Strikeiron Section","Sektion för Strikeiron"
"Strikeiron foreign exchange rate is disabled","Valutakurser från Strikeiron är inaktiverade"
"Tax","Moms"
"There is an error in retrieving tax rate. Please contact us","Ett fel uppstod när momsklassen skulle hämtas. Vänligen kontakta oss"
"There is an error in verifying an email. Please contact us.","Det uppstod ett fel när e-post skulle verifieras. Vänligen kontakta oss."
"There is no more hits remaining for the foreign Exchange Rate Service.","Inga flera träffar återstår för tjänsten för valutakurser."
"There is no response back from Strikeiron server","Inget svar erhölls från Strikeirons server"
"US Address Verification","Verifiering av amerikansk adress"
"Undetermined email action","Åtgärd för okänd e-post"
"Use","Använd"
"User ID","Användarnamn"
"Verify address in admin","Verifiera adress i admin"
"Verify email in admin","Verifiera e-post i admin"
