"--Select--","-- Votre choix --"
"Add New Option","Ajouter une option"
"Add Selection","Ajouter une sélection"
"As low as","À partir de"
"Bundle Items","Articles packagés"
"Bundle Product","Produit packagé"
"Buy %1$s with %2$s discount each","Achetez-en %1$s et profitez d'une remise de %2$s par produit"
"Checkbox","Case à cocher"
"Choose a selection...","Choisissez une sélection"
"Close","Fermer"
"Default","Défaut"
"Default Qty","Qté par défaut"
"Default Title","Titre par défaut"
"Drop-down","Liste déroulante"
"Dynamic","Dynamique"
"Excl. Tax","HT"
"Fixed","Fixe"
"From","De"
"From:","De :"
"Gift Message","Message cadeau"
"Incl. Tax","TTC"
"Input Type","Type d'entrée"
"Is Required","Obligatoire"
"Message:","Message :"
"Multiple Select","Sélection multiple"
"N/A","N/A"
"No options of this product are available.","Aucune option de ce produit n'est disponible."
"None","Aucun"
"Percent","Pourcent"
"Percent Discount","Remise en pourcentage"
"Please enter search conditions to view products.","Veuillez entrer des conditions de recherche pour voir des produits."
"Please select options for product.","Veuillez choisir les options pour le produit."
"Please select products to add","Veuillez choisir les produits à ajouter"
"Please specify product option(s)","Veuillez spécifier les options de produit"
"Position","Position"
"Price Range","Tranche de prix"
"Price Type","Type de prix"
"Price as configured","Prix de cette configuration"
"Qty:","Qté :"
"Radio Buttons","Boutons radio"
"Required options not selected.","Options obligatoires non sélectionnées"
"Selected required options not available.","Les options obligatoires sélectionnées ne sont pas disponibles."
"Separately","Séparément"
"Ship Bundle Items","Livrer les articles packagés"
"Shipment","Livraison"
"Store View Title","Titre de la vue magasin"
"There is no defined renderer for ""%s"" option type","Il n'y a pas de renderer pour le type d'option ""%s"""
"This product is also part of bundle(s)","Ce produit fait aussi partie des packages"
"To","À"
"To:","À :"
"Together","Ensemble"
"User Defined Qty","Quantité définie par l'utilisateur"
