"* Required Fields","* Champs obligatoires"
"Add","Ajouter"
"Add Gift Message","Ajouter un message cadeau"
"Allow Gift Messages for Order Items","Autoriser les messages cadeau pour chaque article"
"Allow Gift Messages on Order Level","Autoriser les messages cadeau au niveau de la commande"
"Are you sure?","En êtes-vous sûr ?"
"Cancel","Annuler"
"Check this checkbox if you want to add gift messages to your items.","Cochez cette case si vous voulez ajouter des messages cadeau à vos articles."
"Check this checkbox if you want to add gift messages.","Cochez cette case si vous voulez ajouter des messages cadeau."
"Close","Fermer"
"Do you have any gift items in your order?","Y a-t-il des articles cadeaux dans votre commande ?"
"Edit","Éditer"
"Edit Gift Message","Éditer le message cadeau"
"Enter a gift message for each item in your order.","Entrez un message cadeau pour chaque article dans votre commande"
"Enter a gift message for entire order.","Entrez un message cadeau pour toute la commande"
"Enter a gift message for this address.","Entrez un message cadeau pour cette adresse"
"Error while saving gift message","Erreur lors de la sauvegarde du message cadeau"
"From","De la part de"
"Gift Message","Message cadeau"
"Gift Messages","Messages cadeau"
"Gift message has been successfully saved","Le message cadeau a bien été sauvegardé"
"Item %d of %d","Article %d sur %d"
"Message","Message"
"No","Non"
"Remove","Supprimer"
"Save","Sauvegarder"
"Save Gift Message","Sauvegarder le message cadeau"
"To","Pour"
"Unknown entity type","Type d'entité inconnu"
"Use config","Utiliser la config"
"Yes","Oui"
"You can leave a box blank if you don't wish to add a gift message for the item.","Laissez vide si vous ne souhaitez pas ajouter de message cadeau pour cet article."
"You can leave a box blank if you don't wish to add a gift message for this address.","Laissez vide si vous ne souhaitez pas ajouter de message cadeau pour cette adresse."
"You can leave a box blank if you don't wish to add a gift message for whole order.","Laissez vide si vous ne souhaitez pas ajouter de message cadeau pour cette commande."
"Your gift message has been successfully removed","Votre message cadeau a bien été supprimé"
"Your gift message has been successfully saved","Votre message cadeau a bien été sauvegardé"
"Your gift message successfully removed","Votre message cadeau a été supprimé"
"Your gift message successfully saved","Votre message cadeau a été enregistré."
