"1 star","1 étoile"
"2 stars","2 étoiles"
"3 stars","3 étoiles"
"4 stars","4 étoiles"
"5 stars","5 étoiles"
"Add New Rating","Ajouter une notation"
"Assigned Options","Options attribuées"
"Be the first to review this product","Soyez le premier à commenter ce produit"
"Default Value","Valeur par défaut"
"Delete Rating","Supprimer la notation"
"Edit Rating","Modifier la notation"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Si vous ne spécifiez pas de titre d'évaluation pour un magasin, la valeur par défaut sera utilisée."
"Manage Ratings","Gérer les notations"
"New Rating","Nouvelle notation"
"Option Label","Option"
"Option Title","Titre de l'option"
"Option Title:","Titre de l'option :"
"Please select one of each ratings above","Sélectionnez une note pour chaque critère ci-dessus"
"Rating Information","Informations de notation"
"Rating Name","Nom de notation"
"Rating Options","Options de notation"
"Rating Title","Libellé de notation"
"Rating Visibility","Visibilité de classement"
"Rating isn't Available","Les notations ne sont pas activées"
"Rating with the same title","Note avec le même titre"
"Save Rating","Sauvegarder la notation"
"Visible In","Visible dans"
