"-- Please select --","-- Por favor, selecione --"
"Allowed currencies","Moedas permitidas"
"Base currency","Moeda padrão"
"Cannot retrieve rate from %s","Não foi possível obter taxa de %s"
"Connection timeout in seconds","Timeout da conexão em segundos"
"Continue &raquo;","Continuar &raquo;"
"Country","País"
"Country Api","API do país"
"Country and Format Type combination should be unique","Combinação de país e tipo de formato deve ser única"
"Currency","Moeda"
"Currency Options","Opções de moeda"
"Currency Setup","Configuração de moeda"
"Currency Update Warnings","Alertas de atualização de moeda"
"Currency will be used for all online payment transactions","Moeda em vigor será usada para todos os pagamentos online"
"Default display currency","Moeda de visualização padrão"
"Directory","Diretório"
"Enabled","Habilitado"
"Error Email Recipient","Destinatário de e-mail de erro"
"Error Email Sender","Remetente de e-mail de erro"
"Error Email Template","Modelo de e-mail de erro"
"FATAL ERROR:","ERRO FATAL:"
"Frequency","Freqüência"
"Installed Currencies","Moedas instaladas"
"Invalid Import Service Specified","Serviço inválido de importação especificado"
"Invalid country code: %s","Código de país inválido: %s"
"Invalid rates received","Taxas inválidas recebidas"
"Invalid target currency","Moeda de destino inválida"
"List of countries","Lista de países"
"List of regions in specified country","Lista de regiões em um país específico"
"Region","Região"
"Region Api","API da região"
"Remove space from currency sign","Remover espaço do símbolo da moeda"
"Scheduled Import Settings","Configurações de importações programadas"
"Select Your Currency","Selecione sua moeda"
"Service","Serviço"
"Start Time","Horário de início"
"State/Province","Estado"
"Strikeiron Email Update Warnings","Alerta de atualização de e-mail strikeiron"
"Unable to initialize import model","Não foi possível inicializar modelo de importação"
"Undefined rate from ""%s-%s""","Taxa não definida de ""%s-%s"""
"WARNING:","ALERTA:"
"Webservicex","Webservicex"
"Your current currency is: %s","Sua moeda atual é: %s"
