"Billing Information","Informações de cobrança"
"Change Payment Method","Trocar método de pagamento"
"Change Shipping Address","Trocar endereço de envio"
"Edit Shopping Cart","Editar carrinho de compras"
"Email","E-mail"
"Incl. Tax","Incl. imposto"
"Items in Your Shopping Cart","Itens no seu carrinho de compras"
"No shipping method required.","Método de envio não requerido."
"PayPal Account","Conta PayPal"
"PayPal Email","E-mail PayPal"
"Payment Method","Método de pagamento"
"Place an Order","Realizar pedido"
"Please select a shipping method...","Por favor, selecione um método de envio..."
"Price","Preço"
"Product Name","Nome do produto"
"Qty","Qtde"
"Review Order","Rever pedido"
"Shipping Address","Endereço de envio"
"Shipping Information","Informações de envio"
"Shipping Method","Método de envio"
"Sorry, no quotes are available for this order at this time.","Desculpe, nenhuma cotação está disponível para este pedido no momento."
"Submitting order information...","Enviando informações do pedido..."
"Subtotal","Subtotal"
"Update Shipping Method","Atualizar método de envio"
"You will be redirected to PayPal website when you place an order.","Você será redirecionado para o website do PayPal quando realizar um pedido."
"You will be redirected to Paypal in a few seconds.","Você será redirecionado para o PayPal em alguns segundos."
"Your billing address will be ignored and you will be redirected to PayPal website","Seu endereço de cobrança será ignorado e você será redirecionado para o website do PayPal"
