"-- Please Select --","-- Por favor, selecione --"
"Add New Class","Adicionar classe"
"Add New Tax Rate","Adicionar taxa de imposto"
"Add New Tax Rule","Adicionar nova regra de imposto"
"Apply Discount On Prices Including Tax","Aplicar desconto nos preços incluindo impostos"
"Apply Tax After Discount","Aplicar taxa depois do desconto"
"Apply Tax On","Aplicar imposto"
"Are you sure you want to do this?","Você tem certeza que deseja fazer isto?"
"Back","Voltar"
"CSV","CSV"
"Calculation","Cálculo"
"Catalog prices include tax","Preço de catálogo inclui imposto"
"Class Name","Nome da classe"
"Code","Código"
"Country","País"
"Country/Region/Postal code combination","Combinação de País/Estado/CEP"
"County","Município"
"Custom price if available","Preço personalizado se possível"
"Customer Tax Class","Classe de imposto do cliente"
"Customer Tax Class Information","Informações de classe de impostos"
"Customer Tax Classes","Classes de impostos de cliente"
"Default Country","País padrão"
"Default Post Code","CEP padrão"
"Default State","Estado padrão"
"Default Tax Origin Calculation","Cálculo de imposto padrão"
"Delete Class","Excluir classe"
"Delete Rate","Excluir imposto"
"Delete Rule","Excluir regra"
"Display","Mostrar"
"Display Cart/Order Prices","Mostrar preço do carrinho/pedido"
"Display Product Prices","Mostrar preço dos produtos"
"Display Shipping Prices","Mostrar custo do frete"
"Display Zero Tax Subtotal","Mostrar subtotal sem impostos"
"Display full tax summary","Mostrar sumário com todos impostos"
"Edit Class","Editar classe"
"Edit Class '%s'","Editar classe '%s'"
"Edit Rule","Editar regra"
"Edit Tax Rate","Editar taxa de imposto"
"Error while deleting this class. Please try again later.","Erro ao excluir esta classe. Por favor, tente novamente mais tarde."
"Error while deleting this rate. Incorrect rate ID","Erro ao excluir esta taxa. ID de taxa incorreto"
"Error while deleting this rate. Please try again later.","Erro ao excluir esta taxa. Por favor, tente novamente mais tarde."
"Error while deleting this tax rule. Please try again later.","Erro ao excluir esta regra de imposto. Por favor, tente novamente mais tarde."
"Error while saving this rate. Please try again later.","Erro ao salvar esta taxa. Por favor, tente novamente mais tarde."
"Error while saving this tax class. Class with the same name ","Erro ao salvar esta classe de imposto. Já existe uma classe com o mesmo nome"
"Error while saving this tax class. Please try again later.","Erro ao salvar esta classe de imposto. Por favor, tente novamente mais tarde."
"Error while saving this tax rule. Please try again later.","Erro ao salvar esta regra de imposto. Por favor, tente novamente mais tarde."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Erro ao salvar esta taxa de imposto. Esta classe de imposto de produto, classe de imposto do cliente e a combinação de taxa de imposto"
"Excl. Tax","Excl. imposto"
"Excl. Tax:","Excl. imposto:"
"Excluding tax","Excluindo imposto"
"Export Tax Rates","Exportar taxas de impostos"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignorar quando opção 'aplicar taxa depois do desconto' estiver habilitado"
"Import / Export Tax Rates","Importar / Exportar taxas de impostos"
"Import Tax Rates","Importar taxas de impostos"
"Inc. Tax","Inc. imposto"
"Incl. Tax","Incl. imposto"
"Incl. Tax:","Incl. imposto:"
"Including and excluding tax","Incluindo e excluindo imposto"
"Including tax","Incluindo imposto"
"Incorrect rate Data","Dados de taxa incorretos"
"Invalid data for tax rate calculation","Dados inválidos para calcular taxa de imposto"
"Invalid file format upload attempt","Tentativa de carregar formato de arquivo inválido"
"Invalid file upload attempt","Tentativa de carregar arquivo inválido"
"Manage Customer Tax Classes","Gerenciar classes de impostos de cliente"
"Manage Product Tax Classes","Gerenciar classes de impostos de produto"
"Manage Tax Rates","Gerenciar taxas de imposto"
"Manage Tax Rules","Gerenciar regras de imposto"
"Manage Tax Zones & Rates","Gerenciar impostos e tarifas"
"Name","Nome"
"New Class","Nova classe"
"New Rule","Nova regra"
"New Tax Rate","Nova taxa de imposto"
"None","Nada"
"One of the country has invalid code.","Um dos países está com código inválido."
"Original price only","Somente preço original"
"Please select Country","Por favor, selecione um país"
"Please select County","Por favor, selecione um município"
"Please select State","Por favor, selecione um estado"
"Priority","Prioridade"
"Product Tax Class","Classe de imposto de produto"
"Product Tax Class Information","Informação de classe de imposto de produto"
"Product Tax Classes","Classes de impostos de produto"
"Rate","Avaliação"
"Reset","Redefinir"
"Sales","Vendas"
"Save Class","Salvar classe"
"Save Rate","Salvar taxa"
"Save Rule","Salvar regra"
"Shipping prices include tax","Valores de envio já incluem impostos"
"Sort Order","Ordem de ordenação"
"State","Estado"
"State/Region","Estado"
"Tax","Imposto"
"Tax Based On","Taxa baseada na"
"Tax Class for Shipping","Classe de taxa para envio"
"Tax Classes","Classes de impostos"
"Tax Identifier","Identificador do imposto"
"Tax Rate","Taxa de imposto"
"Tax Rate Information","Informações da taxa de imposto"
"Tax Rule Information","Informações da regra de imposto"
"Tax Rules","Regras de impostos"
"Tax Section","Seção de imposto"
"Tax Titles","Título do imposto"
"Tax class was successfully deleted","Classe de imposto foi excluída com sucesso"
"Tax class was successfully saved","Classe de imposto foi salva com sucesso"
"Tax rate was successfully deleted","Taxa de imposto foi excluída com sucesso"
"Tax rate was successfully imported","Taxa de imposto foi importada com sucesso"
"Tax rate was successfully saved","Taxa de imposto foi salva com sucesso"
"Tax rates at the same priority are added, others are compounded.","Taxas de impostos na mesma prioridade são adicionados, outros são agravados."
"Tax rule was successfully deleted","Regra de imposto foi excluída com sucesso"
"Tax rule was successfully saved","Regra de imposto foi salva com sucesso"
"This class no longer exists","Esta classe não existe mais"
"This rule no longer exists","Esta regra não existe mais"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","Você não pode excluir esta classe de imposto pois ela é usada por %d grupos de clientes."
"You cannot delete this tax class as it is used for %d products.","Você não pode excluir esta classe de imposto pois ela é usada por %d produtos."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Você não pode excluir esta classe de imposto pois ela é usada em regras de impostos. Você tem que excluir as regras onde ela é usada primeiro."
"Zip/Post Code","CEP"
