"Collected Files Count",Număr Fișiere Colectate
"Compilation",Compilare
"Compilation State",Stare Compilare
"Compilation error",Eroare Compilare
"Compiled",Compilat
"Compiled Scopes Count",Număr Domenii Compilate
"Compiler Status",Status Compilator
"Compiler include path is disabled.",Cale includere compilator dezactivată.
"Compiler include path is enabled.",Cale includere compilator activată.
"Directory ""%s"" must be writeable",Directorul "%s" trebuie să fie inscriptibil
"Disable",Dezactivare
"Disabled",Dezactivat
"Enable",Activare
"Enabled",Activat
"File ""%s"" must be writeable",Fisierul "%s" trebuie să fie inscriptibil
"Not Compiled",Ne-compilat
"Run Compilation Process",Rulare Proces Compilare
"Scopes Compilation Settings",Setări Compilare Domenii
"System",Sistem
"The compilation has completed.",Compilarea s-a finalizat.
"Tools",Unelte
